"Plot Title: PycnoFeeding_TankY5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10893408, SEN S/N: 10893408)","Coupler Detached (LGR S/N: 10893408)","Coupler Attached (LGR S/N: 10893408)","Host Connected (LGR S/N: 10893408)","Stopped (LGR S/N: 10893408)","End Of File (LGR S/N: 10893408)"
1,2022/09/29 14:47:30,12.775,Logged,,,,
2,2022/09/29 14:52:30,12.703,,,,,
3,2022/09/29 14:57:30,12.703,,,,,
4,2022/09/29 15:02:30,12.678,,,,,
5,2022/09/29 15:07:30,12.654,,,,,
6,2022/09/29 15:12:30,12.654,,,,,
7,2022/09/29 15:17:30,12.654,,,,,
8,2022/09/29 15:22:30,12.534,,,,,
9,2022/09/29 15:27:30,12.558,,,,,
10,2022/09/29 15:32:30,12.485,,,,,
11,2022/09/29 15:37:30,12.461,,,,,
12,2022/09/29 15:42:30,12.437,,,,,
13,2022/09/29 15:47:30,12.389,,,,,
14,2022/09/29 15:52:30,12.340,,,,,
15,2022/09/29 15:57:30,12.340,,,,,
16,2022/09/29 16:02:30,12.340,,,,,
17,2022/09/29 16:07:30,12.292,,,,,
18,2022/09/29 16:12:30,12.268,,,,,
19,2022/09/29 16:17:30,12.243,,,,,
20,2022/09/29 16:22:30,12.243,,,,,
21,2022/09/29 16:27:30,12.219,,,,,
22,2022/09/29 16:32:30,12.171,,,,,
23,2022/09/29 16:37:30,12.171,,,,,
24,2022/09/29 16:42:30,12.122,,,,,
25,2022/09/29 16:47:30,12.122,,,,,
26,2022/09/29 16:52:30,12.098,,,,,
27,2022/09/29 16:57:30,12.074,,,,,
28,2022/09/29 17:02:30,12.050,,,,,
29,2022/09/29 17:07:30,12.025,,,,,
30,2022/09/29 17:12:30,12.001,,,,,
31,2022/09/29 17:17:30,11.977,,,,,
32,2022/09/29 17:22:30,11.953,,,,,
33,2022/09/29 17:27:30,11.929,,,,,
34,2022/09/29 17:32:30,11.880,,,,,
35,2022/09/29 17:37:30,11.832,,,,,
36,2022/09/29 17:42:30,11.807,,,,,
37,2022/09/29 17:47:30,11.783,,,,,
38,2022/09/29 17:52:30,11.734,,,,,
39,2022/09/29 17:57:30,11.710,,,,,
40,2022/09/29 18:02:30,11.686,,,,,
41,2022/09/29 18:07:30,11.662,,,,,
42,2022/09/29 18:12:30,11.637,,,,,
43,2022/09/29 18:17:30,11.613,,,,,
44,2022/09/29 18:22:30,11.565,,,,,
45,2022/09/29 18:27:30,11.540,,,,,
46,2022/09/29 18:32:30,11.516,,,,,
47,2022/09/29 18:37:30,11.492,,,,,
48,2022/09/29 18:42:30,11.467,,,,,
49,2022/09/29 18:47:30,11.419,,,,,
50,2022/09/29 18:52:30,11.394,,,,,
51,2022/09/29 18:57:30,11.370,,,,,
52,2022/09/29 19:02:30,11.346,,,,,
53,2022/09/29 19:07:30,11.346,,,,,
54,2022/09/29 19:12:30,11.321,,,,,
55,2022/09/29 19:17:30,11.297,,,,,
56,2022/09/29 19:22:30,11.297,,,,,
57,2022/09/29 19:27:30,11.273,,,,,
58,2022/09/29 19:32:30,11.248,,,,,
59,2022/09/29 19:37:30,11.248,,,,,
60,2022/09/29 19:42:30,11.224,,,,,
61,2022/09/29 19:47:30,11.224,,,,,
62,2022/09/29 19:52:30,11.224,,,,,
63,2022/09/29 19:57:30,11.200,,,,,
64,2022/09/29 20:02:30,11.175,,,,,
65,2022/09/29 20:07:30,11.175,,,,,
66,2022/09/29 20:12:30,11.175,,,,,
67,2022/09/29 20:17:30,11.151,,,,,
68,2022/09/29 20:22:30,11.151,,,,,
69,2022/09/29 20:27:30,11.151,,,,,
70,2022/09/29 20:32:30,11.151,,,,,
71,2022/09/29 20:37:30,11.151,,,,,
72,2022/09/29 20:42:30,11.151,,,,,
73,2022/09/29 20:47:30,11.127,,,,,
74,2022/09/29 20:52:30,11.127,,,,,
75,2022/09/29 20:57:30,11.127,,,,,
76,2022/09/29 21:02:30,11.127,,,,,
77,2022/09/29 21:07:30,11.127,,,,,
78,2022/09/29 21:12:30,11.102,,,,,
79,2022/09/29 21:17:30,11.102,,,,,
80,2022/09/29 21:22:30,11.102,,,,,
81,2022/09/29 21:27:30,11.102,,,,,
82,2022/09/29 21:32:30,11.102,,,,,
83,2022/09/29 21:37:30,11.078,,,,,
84,2022/09/29 21:42:30,11.078,,,,,
85,2022/09/29 21:47:30,11.078,,,,,
86,2022/09/29 21:52:30,11.078,,,,,
87,2022/09/29 21:57:30,11.078,,,,,
88,2022/09/29 22:02:30,11.078,,,,,
89,2022/09/29 22:07:30,11.078,,,,,
90,2022/09/29 22:12:30,11.078,,,,,
91,2022/09/29 22:17:30,11.078,,,,,
92,2022/09/29 22:22:30,11.053,,,,,
93,2022/09/29 22:27:30,11.053,,,,,
94,2022/09/29 22:32:30,11.053,,,,,
95,2022/09/29 22:37:30,11.053,,,,,
96,2022/09/29 22:42:30,11.053,,,,,
97,2022/09/29 22:47:30,11.053,,,,,
98,2022/09/29 22:52:30,11.053,,,,,
99,2022/09/29 22:57:30,11.053,,,,,
100,2022/09/29 23:02:30,11.053,,,,,
